amount,payment_type,country_code,timestamp,delay_seconds
1868.77,1,124,2024-04-03 14:15:29,41
5686.27,2,124,2024-10-26 14:15:29,264
3754.93,1,356,2024-03-29 14:15:29,121
557.82,2,124,2024-10-13 14:15:29,138
2922.51,1,356,2024-04-27 14:15:29,415
4337.68,1,392,2023-12-21 14:15:29,593
6711.44,1,392,2024-11-02 14:15:29,246
7162.85,2,356,2024-03-26 14:15:29,120
1922.33,2,392,2024-10-29 14:15:29,19
8993.31,2,124,2024-02-18 14:15:29,380
1517.72,1,840,2024-03-29 14:15:29,466
8863.75,2,392,2024-07-16 14:15:29,592
974.14,1,124,2023-12-25 14:15:29,62
6796.21,1,356,2024-02-24 14:15:29,453
915.78,1,124,2023-12-26 14:15:29,527
5063.34,1,356,2024-11-04 14:15:29,555
4521.62,2,356,2023-12-30 14:15:29,454
3124.78,2,356,2024-08-21 14:15:29,211
4435.58,2,124,2024-08-26 14:15:29,332
4032.36,2,124,2024-04-28 14:15:29,466
6474.19,2,124,2024-05-01 14:15:29,547
494.24,1,392,2024-10-22 14:15:29,591
6776.42,1,392,2023-12-15 14:15:29,386
7075.81,1,356,2024-06-23 14:15:29,146
3342.5,1,356,2024-04-25 14:15:29,115
9903.25,2,392,2024-03-26 14:15:29,360
2654.3,1,392,2024-09-22 14:15:29,313
2936.92,1,356,2024-10-21 14:15:29,223
3234.79,1,356,2024-10-23 14:15:29,218
1420.58,1,840,2024-09-20 14:15:29,7
2906.85,2,124,2024-01-27 14:15:29,332
4734.49,1,356,2024-10-09 14:15:29,573
817.75,1,840,2024-06-07 14:15:29,511
2281.53,2,124,2024-02-21 14:15:29,550
774.57,2,356,2024-04-14 14:15:29,252
8278.6,1,840,2024-04-05 14:15:29,269
400.5,2,124,2024-09-17 14:15:29,392
1020.53,2,840,2023-12-11 14:15:29,292
9641.68,1,124,2024-06-20 14:15:29,57
2604.19,1,840,2024-07-01 14:15:29,6
295.61,2,124,2024-04-18 14:15:29,259
3026.66,1,124,2024-03-03 14:15:29,545
5025.52,2,124,2024-11-28 14:15:29,316
5020.79,1,356,2024-08-17 14:15:29,242
5346.07,2,840,2024-05-17 14:15:29,9
2596.91,1,392,2024-03-28 14:15:29,416
5300.11,1,356,2024-09-09 14:15:29,450
9367.04,2,356,2024-09-29 14:15:29,483
2278.9,1,392,2024-04-03 14:15:29,365
8034.44,2,392,2024-11-08 14:15:29,418
9534.93,2,124,2024-08-23 14:15:29,368
2485.67,2,840,2024-03-16 14:15:29,305
9689.7,2,840,2024-05-11 14:15:29,184
4918.2,2,840,2024-03-14 14:15:29,283
713.18,1,392,2024-08-14 14:15:29,234
5744.67,2,124,2024-10-28 14:15:29,310
4801.7,1,124,2024-10-02 14:15:29,294
2646.67,1,840,2023-12-30 14:15:29,33
6402.22,2,356,2024-04-02 14:15:29,218
2112.83,1,356,2024-06-29 14:15:29,39
9399.01,2,840,2024-07-01 14:15:29,283
4586.0,1,356,2024-01-17 14:15:29,113
3654.9,2,392,2024-04-10 14:15:29,452
5465.02,2,356,2024-06-14 14:15:29,438
9652.84,1,392,2024-04-19 14:15:29,464
8863.05,1,124,2023-12-08 14:15:29,550
9596.22,1,124,2024-06-21 14:15:29,559
6105.06,2,124,2024-05-05 14:15:29,156
2924.58,1,392,2024-08-21 14:15:29,68
2253.65,2,124,2024-06-19 14:15:29,473
8009.59,1,840,2024-07-26 14:15:29,565
2781.89,1,356,2024-01-31 14:15:29,380
2695.39,2,124,2024-08-19 14:15:29,542
2867.84,1,392,2024-05-14 14:15:29,596
7026.95,2,124,2024-07-07 14:15:29,517
4092.11,1,124,2024-01-22 14:15:29,478
2063.0,1,392,2024-07-22 14:15:29,3
297.21,2,840,2023-12-27 14:15:29,461
6216.89,1,356,2024-03-12 14:15:29,433
2667.4,1,840,2024-05-23 14:15:29,156
1956.79,1,840,2024-07-31 14:15:29,164
3655.09,1,356,2024-01-18 14:15:29,62
6545.24,1,840,2024-03-23 14:15:29,564
7181.77,2,356,2024-05-11 14:15:29,351
7762.35,1,392,2024-11-08 14:15:29,581
223.33,2,356,2024-11-26 14:15:29,249
1018.58,2,840,2024-07-25 14:15:29,500
5518.8,2,124,2024-03-23 14:15:29,394
7162.27,2,840,2024-08-03 14:15:29,110
4245.39,1,124,2024-02-14 14:15:29,84
5855.12,1,840,2024-05-15 14:15:29,574
735.27,2,392,2023-12-09 14:15:29,582
786.08,1,392,2024-05-11 14:15:29,414
2436.47,1,840,2024-03-06 14:15:29,467
4904.01,2,840,2024-01-29 14:15:29,508
8561.34,2,392,2024-04-03 14:15:29,286
9026.08,1,124,2024-04-01 14:15:29,72
4650.74,1,356,2024-03-09 14:15:29,565
9224.81,1,124,2024-08-07 14:15:29,61
1071.75,2,840,2024-05-26 14:15:29,250
4878.96,2,124,2023-12-14 14:15:29,566
270.17,2,356,2024-08-11 14:15:29,310
5729.24,1,840,2024-11-29 14:15:29,205
8104.57,1,840,2023-12-21 14:15:29,212
780.94,1,840,2024-05-09 14:15:29,399
1079.32,2,840,2024-10-05 14:15:29,352
1133.52,2,840,2024-10-16 14:15:29,291
2366.7,1,392,2024-04-11 14:15:29,250
282.92,1,392,2024-05-28 14:15:29,108
2289.95,2,356,2024-03-07 14:15:29,379
1866.87,2,124,2024-01-27 14:15:29,426
3198.09,1,356,2024-08-30 14:15:29,244
806.06,2,840,2024-10-11 14:15:29,342
840.66,1,124,2023-12-27 14:15:29,277
9642.44,1,356,2024-02-11 14:15:29,117
7945.77,1,840,2024-11-18 14:15:29,65
4871.58,2,840,2024-08-12 14:15:29,254
271.87,2,124,2024-11-26 14:15:29,599
3879.91,2,392,2024-03-31 14:15:29,279
4244.91,1,392,2024-08-08 14:15:29,7
2854.76,2,356,2024-06-18 14:15:29,362
143.02,1,840,2024-02-27 14:15:29,174
7254.51,1,356,2024-04-16 14:15:29,179
6622.27,1,124,2024-05-06 14:15:29,480
8048.07,1,840,2023-12-07 14:15:29,545
6186.73,1,356,2024-08-20 14:15:29,321
3919.18,2,356,2024-01-03 14:15:29,472
4685.35,1,356,2024-10-17 14:15:29,389
8819.34,2,124,2024-01-27 14:15:29,372
5972.07,1,392,2024-03-27 14:15:29,165
4345.85,1,840,2024-08-19 14:15:29,26
5473.94,1,356,2024-09-04 14:15:29,124
6232.75,1,392,2024-05-18 14:15:29,446
1065.28,2,356,2024-01-19 14:15:29,570
5925.37,1,840,2024-05-31 14:15:29,80
2050.97,1,840,2024-01-04 14:15:29,81
727.06,1,356,2024-09-20 14:15:29,359
7247.2,2,124,2024-09-02 14:15:29,262
5819.67,1,124,2024-08-06 14:15:29,599
3993.9,1,124,2024-05-23 14:15:29,384
4700.9,2,392,2024-01-06 14:15:29,541
2598.66,1,124,2024-03-11 14:15:29,393
9063.94,1,392,2024-10-28 14:15:29,291
1595.81,1,356,2024-04-30 14:15:29,56
716.6,2,840,2024-08-01 14:15:29,89
1019.21,2,356,2024-06-12 14:15:29,314
8490.62,2,124,2023-12-16 14:15:29,209
6153.27,1,392,2024-12-03 14:15:29,293
5454.38,1,392,2024-04-13 14:15:29,119
8337.89,2,124,2024-03-12 14:15:29,515
8537.83,2,840,2024-09-02 14:15:29,557
4579.54,1,356,2023-12-13 14:15:29,503
194.75,1,356,2024-06-05 14:15:29,151
3877.15,1,840,2024-05-24 14:15:29,243
1156.66,2,840,2024-02-09 14:15:29,464
6424.0,1,840,2024-09-27 14:15:29,124
8807.79,1,356,2024-02-08 14:15:29,214
7732.15,2,840,2024-03-27 14:15:29,584
2733.25,2,356,2024-08-17 14:15:29,14
1425.18,2,356,2024-01-02 14:15:29,120
6343.8,2,392,2024-09-10 14:15:29,407
7837.83,1,840,2024-10-31 14:15:29,584
2321.4,2,356,2024-01-16 14:15:29,271
5161.9,1,356,2024-09-12 14:15:29,388
3763.97,2,840,2024-02-28 14:15:29,306
6795.97,2,124,2024-04-23 14:15:29,302
6015.63,2,840,2023-12-14 14:15:29,269
832.89,2,840,2024-04-25 14:15:29,292
1442.45,2,356,2024-06-06 14:15:29,319
1187.41,2,840,2024-05-08 14:15:29,352
9650.79,2,356,2024-02-20 14:15:29,360
6511.45,1,124,2023-12-20 14:15:29,329
5851.17,2,840,2024-08-29 14:15:29,547
1282.88,1,392,2024-07-12 14:15:29,414
3060.36,1,124,2024-10-11 14:15:29,526
4989.25,1,124,2024-02-27 14:15:29,349
9637.62,1,392,2024-07-24 14:15:29,53
2087.91,1,392,2024-06-13 14:15:29,160
617.4,2,392,2024-01-31 14:15:29,421
8999.91,1,356,2024-11-11 14:15:29,490
6058.63,1,840,2024-11-14 14:15:29,101
5396.14,2,392,2024-06-28 14:15:29,17
3137.82,2,392,2024-01-31 14:15:29,241
121.16,2,356,2024-04-18 14:15:29,344
7014.12,2,356,2024-10-21 14:15:29,451
4310.79,2,392,2024-01-10 14:15:29,539
1540.88,1,124,2023-12-20 14:15:29,140
835.98,2,392,2024-01-05 14:15:29,472
8412.83,1,356,2024-06-08 14:15:29,327
2971.96,2,356,2024-09-04 14:15:29,38
1567.55,2,124,2024-01-26 14:15:29,157
9131.07,2,124,2024-06-25 14:15:29,475
1625.19,2,124,2024-09-25 14:15:29,62
8385.38,2,356,2024-02-08 14:15:29,548
5851.14,1,840,2024-01-31 14:15:29,461
6762.4,1,124,2024-03-11 14:15:29,457
8895.42,2,124,2024-01-05 14:15:29,381
8426.98,1,392,2024-01-13 14:15:29,72
2348.62,2,392,2024-07-13 14:15:29,322
6737.87,2,124,2024-06-05 14:15:29,468
1189.86,1,356,2024-09-04 14:15:29,20
613.12,2,124,2024-08-15 14:15:29,249
3691.04,1,356,2024-03-23 14:15:29,536
6919.82,2,356,2024-02-10 14:15:29,169
8993.18,1,840,2024-05-28 14:15:29,553
6348.59,1,356,2024-07-28 14:15:29,271
8277.78,2,124,2024-05-25 14:15:29,351
5462.62,1,356,2024-06-15 14:15:29,508
7788.22,1,124,2024-03-04 14:15:29,582
9149.56,2,392,2024-01-22 14:15:29,524
2321.74,2,356,2024-06-28 14:15:29,573
9704.23,2,840,2024-04-27 14:15:29,26
3943.88,2,840,2024-04-21 14:15:29,66
9136.21,2,356,2024-09-06 14:15:29,9
2848.36,2,840,2024-10-05 14:15:29,521
1855.96,2,392,2024-03-08 14:15:29,256
6169.32,1,840,2023-12-10 14:15:29,440
8589.08,1,840,2024-10-04 14:15:29,484
7107.97,1,840,2024-07-28 14:15:29,152
5736.64,2,392,2024-04-29 14:15:29,247
5585.87,2,840,2024-05-11 14:15:29,256
7447.32,2,392,2024-02-24 14:15:29,314
340.18,2,392,2024-10-13 14:15:29,600
8416.88,2,392,2024-07-12 14:15:29,209
2386.62,1,392,2024-03-05 14:15:29,279
6258.28,2,392,2024-03-08 14:15:29,275
1968.35,1,392,2024-09-16 14:15:29,107
2713.34,1,124,2024-06-03 14:15:29,541
2480.92,2,392,2024-06-10 14:15:29,499
7125.86,2,124,2023-12-12 14:15:29,279
9582.34,1,356,2024-10-23 14:15:29,285
3708.14,1,356,2024-06-10 14:15:29,587
511.06,1,124,2024-02-06 14:15:29,212
2820.61,2,840,2024-05-15 14:15:29,332
9962.9,2,124,2024-03-13 14:15:29,29
196.89,1,356,2024-09-18 14:15:29,167
9704.46,2,392,2024-10-11 14:15:29,77
1128.47,1,392,2024-02-05 14:15:29,138
6770.14,1,356,2024-09-08 14:15:29,95
9822.04,2,392,2024-02-20 14:15:29,220
8189.79,1,392,2024-03-31 14:15:29,505
2971.19,2,356,2024-02-28 14:15:29,95
6961.07,2,840,2024-01-11 14:15:29,515
9104.93,2,392,2024-09-17 14:15:29,26
9802.62,2,124,2024-05-22 14:15:29,334
8789.7,1,356,2024-09-19 14:15:29,582
1171.51,1,356,2024-01-31 14:15:29,362
4160.59,2,392,2024-06-14 14:15:29,176
7113.91,2,392,2024-03-27 14:15:29,26
4102.78,2,356,2024-09-04 14:15:29,371
7479.23,2,392,2024-04-12 14:15:29,525
2401.23,1,356,2024-05-24 14:15:29,465
3382.71,2,356,2024-06-23 14:15:29,568
860.17,1,840,2024-07-18 14:15:29,165
7807.42,2,124,2024-08-03 14:15:29,144
6859.42,1,392,2023-12-30 14:15:29,7
5263.45,2,356,2024-05-28 14:15:29,194
7998.04,2,840,2024-07-21 14:15:29,538
8248.44,1,392,2024-04-22 14:15:29,121
2927.96,2,356,2024-05-27 14:15:29,112
4169.76,2,356,2024-03-08 14:15:29,557
2388.83,2,356,2024-05-27 14:15:29,258
5884.34,2,840,2024-02-02 14:15:29,100
645.77,2,840,2024-04-27 14:15:29,559
4926.37,1,392,2024-06-15 14:15:29,87
4885.81,1,840,2024-10-16 14:15:29,240
3969.9,2,392,2024-06-11 14:15:29,409
4997.4,2,124,2024-10-23 14:15:29,96
7595.79,2,392,2024-03-22 14:15:29,254
5048.48,2,392,2024-06-23 14:15:29,595
3318.79,1,840,2024-05-24 14:15:29,277
5457.7,2,392,2024-04-13 14:15:29,494
7431.36,2,392,2024-06-08 14:15:29,37
5495.38,2,124,2023-12-11 14:15:29,512
1782.08,2,840,2024-10-15 14:15:29,482
366.5,1,840,2024-05-14 14:15:29,298
867.2,1,840,2024-04-26 14:15:29,323
9169.15,1,392,2024-08-16 14:15:29,26
9955.56,2,840,2024-11-13 14:15:29,472
6838.6,2,356,2024-05-10 14:15:29,120
9409.63,1,392,2024-01-20 14:15:29,331
2239.72,1,392,2024-04-18 14:15:29,275
8557.88,1,124,2024-01-28 14:15:29,310
9067.79,1,392,2024-09-04 14:15:29,44
9387.95,2,356,2024-07-31 14:15:29,419
5085.07,2,392,2024-11-08 14:15:29,277
5888.73,1,356,2024-09-27 14:15:29,36
9510.38,1,392,2024-08-23 14:15:29,148
5685.07,1,124,2024-08-19 14:15:29,179
256.44,2,840,2024-07-28 14:15:29,573
6350.99,2,124,2024-03-18 14:15:29,111
5052.52,1,840,2024-01-27 14:15:29,240
5160.42,1,356,2024-04-06 14:15:29,312
8598.44,2,124,2024-02-20 14:15:29,543
1661.88,2,124,2023-12-15 14:15:29,353
7572.84,1,356,2024-09-23 14:15:29,188
1331.72,2,840,2024-01-10 14:15:29,254
1512.7,2,356,2024-05-16 14:15:29,300
4560.61,2,356,2024-03-22 14:15:29,249
2390.44,1,356,2024-11-09 14:15:29,373
3654.5,1,124,2024-02-25 14:15:29,380
5701.23,2,840,2024-05-30 14:15:29,525
4786.16,1,840,2024-11-26 14:15:29,270
1245.58,2,124,2023-12-17 14:15:29,387
4764.45,1,356,2024-11-15 14:15:29,549
1464.53,2,124,2024-04-17 14:15:29,41
1535.37,1,124,2024-02-16 14:15:29,57
9953.45,2,840,2024-03-17 14:15:29,550
9580.38,1,392,2024-05-16 14:15:29,165
3222.89,1,840,2024-10-07 14:15:29,564
6195.94,2,392,2024-10-08 14:15:29,427
3428.72,1,124,2024-02-23 14:15:29,490
6503.42,1,124,2024-11-11 14:15:29,99
1235.01,2,356,2024-06-17 14:15:29,582
9640.49,2,392,2024-05-18 14:15:29,392
2040.72,1,356,2023-12-07 14:15:29,590
6212.06,2,124,2024-01-25 14:15:29,127
8766.74,1,124,2024-07-23 14:15:29,185
4755.88,2,392,2024-06-02 14:15:29,582
4387.73,1,840,2024-06-30 14:15:29,207
9783.45,2,392,2024-11-07 14:15:29,214
2658.39,1,840,2024-03-17 14:15:29,195
6617.22,2,840,2024-07-19 14:15:29,193
5683.22,1,392,2024-05-24 14:15:29,16
3891.38,2,356,2024-02-26 14:15:29,481
1901.86,1,124,2024-12-04 14:15:29,527
5285.23,1,124,2023-12-10 14:15:29,383
3101.27,2,840,2024-10-21 14:15:29,528
1760.76,2,392,2024-01-20 14:15:29,516
1014.8,1,840,2024-11-29 14:15:29,122
5584.0,1,124,2024-06-03 14:15:29,242
8822.22,2,124,2024-07-04 14:15:29,301
4409.4,2,124,2024-02-27 14:15:29,73
4015.87,1,392,2024-11-06 14:15:29,212
2976.82,1,356,2024-05-13 14:15:29,299
6392.19,1,356,2024-02-27 14:15:29,222
4261.12,1,840,2024-05-17 14:15:29,412
9799.93,1,392,2024-02-20 14:15:29,286
3689.31,2,840,2023-12-31 14:15:29,270
7931.86,2,840,2024-07-02 14:15:29,51
5176.92,1,392,2023-12-13 14:15:29,4
1842.08,1,356,2024-02-14 14:15:29,489
8367.12,1,392,2024-10-31 14:15:29,298
2303.09,1,840,2024-06-07 14:15:29,27
8711.75,1,392,2024-09-09 14:15:29,232
9369.52,1,356,2024-03-23 14:15:29,34
5814.01,1,356,2024-11-04 14:15:29,456
3754.74,2,124,2024-07-13 14:15:29,467
4816.76,2,392,2024-06-12 14:15:29,59
2931.95,2,124,2024-03-15 14:15:29,262
1564.45,2,840,2024-02-21 14:15:29,80
5964.08,2,356,2024-08-10 14:15:29,258
6097.15,1,356,2024-05-24 14:15:29,154
6440.7,1,124,2024-01-14 14:15:29,340
4210.29,2,392,2024-10-13 14:15:29,562
8643.84,2,356,2024-11-23 14:15:29,286
2618.86,2,840,2024-10-15 14:15:29,110
6301.78,2,356,2024-04-12 14:15:29,240
3157.27,2,392,2024-01-22 14:15:29,234
2733.07,1,840,2024-10-31 14:15:29,188
2244.55,1,840,2024-08-11 14:15:29,77
5712.54,2,392,2024-08-10 14:15:29,241
2593.73,1,356,2024-07-10 14:15:29,389
629.97,2,356,2024-03-29 14:15:29,308
5196.07,1,840,2024-04-10 14:15:29,314
7270.82,2,392,2024-08-11 14:15:29,336
4453.32,1,124,2024-04-19 14:15:29,36
6356.63,2,124,2024-08-06 14:15:29,222
1203.14,1,124,2024-10-23 14:15:29,34
1210.38,2,840,2024-10-15 14:15:29,599
5813.96,1,392,2024-01-19 14:15:29,312
1061.37,2,124,2023-12-30 14:15:29,207
2125.05,2,840,2024-09-19 14:15:29,449
1509.29,2,392,2024-01-17 14:15:29,418
2877.56,1,124,2024-11-07 14:15:29,528
6620.05,2,356,2024-07-26 14:15:29,119
5345.28,1,356,2024-07-01 14:15:29,563
3725.82,2,124,2023-12-16 14:15:29,100
2052.67,2,392,2024-07-13 14:15:29,146
4314.12,1,392,2024-10-20 14:15:29,592
7995.26,1,124,2024-05-06 14:15:29,545
3481.81,1,840,2024-01-21 14:15:29,311
8719.13,1,840,2024-02-28 14:15:29,465
8993.97,1,124,2024-02-16 14:15:29,40
5516.15,1,392,2024-11-18 14:15:29,67
5587.04,1,356,2024-08-01 14:15:29,307
8965.08,1,392,2024-09-20 14:15:29,473
2815.08,2,356,2024-10-10 14:15:29,144
4270.56,2,840,2024-07-29 14:15:29,507
4652.94,1,124,2024-08-15 14:15:29,416
401.53,2,840,2024-10-21 14:15:29,130
5808.45,2,840,2024-11-29 14:15:29,563
6965.86,2,392,2024-03-25 14:15:29,489
4049.05,2,392,2024-02-04 14:15:29,246
9794.07,1,392,2024-06-17 14:15:29,3
1217.17,2,840,2024-07-11 14:15:29,75
7701.64,1,840,2024-02-26 14:15:29,472
2112.46,2,392,2024-06-09 14:15:29,415
9612.82,2,392,2023-12-11 14:15:29,94
4683.15,2,356,2024-08-24 14:15:29,161
3425.26,2,356,2024-04-07 14:15:29,549
1923.0,2,392,2024-10-31 14:15:29,288
7627.25,2,124,2024-07-19 14:15:29,461
3336.36,1,392,2024-02-25 14:15:29,187
3904.08,1,392,2024-08-02 14:15:29,517
1860.22,2,124,2023-12-09 14:15:29,488
982.67,1,840,2024-05-12 14:15:29,14
968.93,1,356,2024-03-08 14:15:29,402
2693.35,1,124,2024-02-16 14:15:29,593
5225.63,1,392,2024-11-17 14:15:29,506
6314.53,1,392,2024-05-11 14:15:29,154
8269.06,1,124,2024-10-25 14:15:29,311
1244.32,2,356,2024-09-22 14:15:29,547
283.24,1,840,2024-09-26 14:15:29,111
212.4,1,392,2024-04-18 14:15:29,303
8429.72,1,124,2024-04-24 14:15:29,389
5637.71,2,356,2024-03-31 14:15:29,401
9921.12,2,392,2024-05-15 14:15:29,496
7992.05,2,356,2024-04-24 14:15:29,238
1229.44,1,392,2024-01-19 14:15:29,240
5587.69,1,124,2024-10-14 14:15:29,292
9965.4,2,840,2024-02-21 14:15:29,513
4433.4,1,124,2024-07-16 14:15:29,45
5363.43,1,124,2024-09-02 14:15:29,527
8797.94,2,392,2024-11-27 14:15:29,567
3466.4,1,124,2024-10-26 14:15:29,149
5725.57,2,392,2024-02-05 14:15:29,143
2890.18,1,392,2023-12-16 14:15:29,289
1300.81,1,840,2023-12-24 14:15:29,109
2823.69,2,392,2024-05-23 14:15:29,556
5950.28,2,392,2024-01-12 14:15:29,289
1584.3,2,392,2024-02-01 14:15:29,61
8988.72,2,840,2024-07-10 14:15:29,414
7232.41,2,356,2024-04-08 14:15:29,301
5358.88,1,124,2024-10-04 14:15:29,218
337.27,1,124,2024-03-04 14:15:29,409
3549.35,2,392,2023-12-21 14:15:29,409
2543.87,1,392,2024-08-27 14:15:29,321
4580.31,2,392,2024-05-14 14:15:29,416
4016.06,1,124,2024-01-28 14:15:29,312
3871.07,2,392,2024-08-27 14:15:29,8
6574.47,2,392,2024-10-04 14:15:29,66
7929.95,2,356,2024-05-30 14:15:29,194
6736.29,1,392,2024-05-13 14:15:29,87
1408.61,2,392,2024-09-26 14:15:29,589
2174.21,2,124,2024-07-31 14:15:29,100
851.22,1,124,2024-01-17 14:15:29,568
6388.39,1,124,2024-02-29 14:15:29,231
4815.05,2,840,2024-04-18 14:15:29,444
9526.0,1,124,2023-12-10 14:15:29,86
2747.24,2,356,2024-08-08 14:15:29,490
1829.11,2,840,2024-06-28 14:15:29,477
9584.57,1,840,2024-10-14 14:15:29,117
3737.34,1,840,2024-07-17 14:15:29,514
7782.08,1,840,2024-10-07 14:15:29,592
1830.44,2,356,2024-04-16 14:15:29,595
6513.52,1,356,2024-01-26 14:15:29,413
8732.22,2,356,2024-09-19 14:15:29,385
9360.38,1,392,2024-10-29 14:15:29,31
847.58,2,356,2024-08-19 14:15:29,70
9614.75,1,124,2024-11-28 14:15:29,415
1767.85,2,124,2024-03-22 14:15:29,535
6451.04,2,124,2024-04-22 14:15:29,548
1323.2,2,392,2024-06-24 14:15:29,402
3170.27,1,356,2024-07-24 14:15:29,200
8303.2,2,356,2024-09-16 14:15:29,73
6861.11,1,124,2024-04-26 14:15:29,516
3968.57,2,392,2024-02-13 14:15:29,593
2506.5,1,124,2024-07-28 14:15:29,47
2525.44,1,124,2024-04-20 14:15:29,48
1591.81,1,124,2024-01-14 14:15:29,130
2679.16,2,840,2024-10-15 14:15:29,382
1492.52,1,840,2024-01-09 14:15:29,130
9269.45,2,840,2023-12-29 14:15:29,589
4373.61,2,392,2024-11-04 14:15:29,205
1794.88,1,124,2024-01-25 14:15:29,319
7440.83,2,356,2024-11-15 14:15:29,386
9838.08,2,124,2024-03-14 14:15:29,548
6713.91,2,124,2024-06-07 14:15:29,393
5837.47,1,840,2024-02-08 14:15:29,84
5524.15,1,124,2024-01-21 14:15:29,458
7821.4,1,356,2024-06-04 14:15:29,340
9753.13,1,356,2024-01-24 14:15:29,397
9533.6,1,356,2024-06-11 14:15:29,231
7771.88,2,392,2024-06-29 14:15:29,151
7884.03,2,840,2024-07-24 14:15:29,556
6382.55,1,356,2024-06-08 14:15:29,508
1894.73,1,840,2023-12-28 14:15:29,464
4499.82,2,392,2024-03-18 14:15:29,567
4593.4,2,356,2024-03-06 14:15:29,50
1043.63,2,356,2023-12-23 14:15:29,424
1091.42,2,124,2024-03-19 14:15:29,104
1067.1,1,392,2024-01-28 14:15:29,453
1632.83,2,392,2024-07-29 14:15:29,146
2232.52,2,124,2024-02-14 14:15:29,271
7371.37,2,392,2024-12-02 14:15:29,99
1324.24,1,392,2024-09-20 14:15:29,573
1725.98,1,124,2024-02-02 14:15:29,448
1044.08,1,356,2024-09-03 14:15:29,599
7556.12,1,356,2023-12-19 14:15:29,85
7050.14,2,392,2024-06-30 14:15:29,105
1342.72,2,840,2024-10-24 14:15:29,468
690.79,1,392,2024-07-30 14:15:29,39
8707.5,2,356,2024-03-08 14:15:29,106
9574.21,2,392,2024-02-18 14:15:29,588
8106.1,2,124,2024-09-19 14:15:29,428
2820.67,1,124,2024-11-07 14:15:29,178
7994.46,1,840,2024-05-09 14:15:29,478
819.42,2,356,2024-03-18 14:15:29,211
8348.01,2,392,2023-12-31 14:15:29,262
5702.59,2,356,2024-01-28 14:15:29,579
2363.23,2,356,2024-06-29 14:15:29,77
2167.76,2,840,2024-10-17 14:15:29,532
9206.07,1,356,2023-12-06 14:15:29,346
7553.05,2,392,2024-12-01 14:15:29,334
1835.08,1,840,2024-04-28 14:15:29,179
2593.96,1,840,2023-12-31 14:15:29,127
7092.85,1,124,2024-10-04 14:15:29,137
8942.69,1,840,2024-09-27 14:15:29,304
6055.8,1,124,2024-01-31 14:15:29,263
9868.68,1,840,2024-07-02 14:15:29,547
1998.14,1,840,2024-08-17 14:15:29,143
2446.79,2,840,2024-04-13 14:15:29,32
5085.41,1,356,2024-08-06 14:15:29,135
8923.52,2,840,2023-12-14 14:15:29,116
3407.08,1,124,2024-07-09 14:15:29,84
731.88,1,392,2024-02-01 14:15:29,173
7106.9,1,356,2023-12-22 14:15:29,515
3616.34,2,124,2024-03-18 14:15:29,361
1575.0,2,392,2024-06-04 14:15:29,528
5888.69,2,124,2023-12-07 14:15:29,578
